Strain	Code
Diatom;Achnanthes;Achnanthes chlidanos;AC166A;KJ658394;	AC166A
Diatom;Psammothidium;Psammothidium daonense;PSAM-06;KJ658395;	PSAM-06
Diatom;Achnanthidium;Achnanthidium kranzii;ACHD-10;KJ658379;	ACHD-10
Diatom;Achnanthidium;Achnanthidium reimeri;ACHD-11;KJ658387;	ACHD-11
Diatom;Achnnathidium;Achnnathidium rivulare;ACHD-12;KJ658390;	ACHD-12
Diatom;Achnanthidium;Achnanthidium saprophilum;ZZZ845;KM084941;	ZZZ845
Diatom;Amphipleura;Amphipleura pellucida;AP001A;KC309549;	AP001A
Diatom;Amphora;Amphora pediculus type;AMPH-05;KM084932;	AMPH-05
Diatom;Amphora;Amphora pediculus type;AMPH-05;KM084934;	AMPH-05
Diatom;Amphora;Amphora atomoides;AMPH-10;KM084979;	AMPH-10
Diatom;Halamphora;Halamphora coffeaeformis;HALA-06;HQ912466;	HALA-06
Diatom;Amphora;Amphora ovalis;AM001A;KM084926;	AM001A
Diatom;Amphora;Amphora ovalis;AM001A;KM084927;	AM001A
Diatom;Amphora;Amphora ovalis;AM001A;KM084928;	AM001A
Diatom;Amphora;Amphora ovalis;AM001A;KM084978;	AM001A
Diatom;Amphora;Amphora ovalis;AM001A;KM084993;	AM001A
Diatom;Amphora;Amphora pediculus;AM012B;HQ912403;	AM012B
Diatom;Amphora;Amphora pediculus;AM012B;KM084933;	AM012B
Diatom;Asterionella;Asterionella formosa;AS001A;AB430671;	AS001A
Diatom;Asterionella;Asterionella formosa;AS001A;HQ912497;	AS001A
Diatom;Aulacoseira;Aulacoseira granulata;AU003D;HQ912470;	AU003D
Diatom;Bacillaria;Bacillaria paxillifer;BA005A;HQ912491;	BA005A
Diatom;Caloneis;Caloneis amphisbaena;CA006A;KM349972;	CA006A
Diatom;Caloneis;Caloneis amphisbaena;CA006A;KM084980;	CA006A
Diatom;Caloneis;Caloneis amphisbaena;CA006A;KM084983;	CA006A
Diatom;Caloneis;Caloneis unknown;CALO-04;HQ912444;	CALO-04
Diatom;Caloneis;Caloneis silicula;CA003A;KM084948;	CA003A
Diatom;Campylodiscus;Campylodiscus hibernicus;CP017A;JX032978;	CP017A
Diatom;Campylodiscus;Campylodiscus hibernicus;CP017A;JX032998;	CP017A
Diatom;Campylodiscus;Campylodiscus hibernicus;CP017A;JX032969;	CP017A
Diatom;Campylodiscus;Campylodiscus hibernicus;CP017A;JX032978;	CP017A
Diatom;Surirella;Surirella bifrons;SU074A;JX032979;	SU074A
Diatom;Campylodiscus;Campylodiscus hibernicus;CP017A;JX032980;	CP017A
Diatom;Campylodiscus;Campylodiscus hibernicus;CP017A;JX032997;	CP017A
Diatom;Campylodiscus;Campylodiscus hibernicus;CP017A;JX033001;	CP017A
Diatom;Campylodiscus;Campylodiscus clypeus;CP001A;HQ912398;	CP001A
Diatom;Campylodiscus;Campylodiscus clypeus;CP001A;JX033021;	CP001A
Diatom;Campylodiscus;Campylodiscus hibernicus;CP017A;JX032950;	CP017A
Diatom;Campylodiscus;Campylodiscus hibernicus;CP017A;JX032950;	CP017A
Diatom;Campylodiscus;Campylodiscus hibernicus;CP017A;JX032962;	CP017A
Diatom;Campylodiscus;Campylodiscus hibernicus;CP017A;JX032986;	CP017A
Diatom;Campylodiscus;Campylodiscus marginatus;CAMP-02;JX032951;	CAMP-02
Diatom;Campylodiscus;Campylodiscus marginatus;CAMP-02;JX032952;	CAMP-02
Diatom;Campylodiscus;Campylodiscus marginatus;CAMP-02;JX032953;	CAMP-02
